id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode_image
714,RD HDP KRT ABU 2,MSSS01,"RODA HIDUP KARET ABU 2"" SSS",SSS,PCS,DWS,10500.0,
715,RD HDP KRT ABU 3,MSSS02,"RODA HIDUP KARET ABU 3"" SSS",SSS,PCS,DWS,19250.0,
716,RD HDP KRT HTM 3,MSSS03,"RODA HIDUP KARET HITAM 3"" SSS",SSS,PCS,DWS,9500.0,
717,RD HDP KRT HTM 4,MSSS04,"RODA HIDUP KARET HITAM 4"" SSS",SSS,PCS,DWS,16250.0,
718,RD HDP KRT HTM 5,MSSS05,"RODA HIDUP KARET HITAM 5"" SSS",SSS,PCS,DWS,21875.0,
719,RD HDP KRT HTM 8,MSSS06,"RODA HIDUP KARET HITAM 8"" SSS",SSS,PCS,DWS,57500.0,
720,RD HDP NY MRH REM 2,MSSS07,"RODA HIDUP NYLON MERAH + REM 2"" SSS",SSS,PCS,DWS,5000.0,
721,RD HDP NY PTH 2,MSSS08,RODA HIDUP NYLON PUTIH 2' SSS,SSS,PCS,DWS,3500.0,
722,RD HDP REM 3,MSSS09,"RODA HIDUP WITH REM 3"" SSS",SSS,PCS,DWS,15000.0,
723,RD HDP REM 5,MSSS10,"RODA HIDUP WITH REM 5"" SSS",SSS,PCS,DWS,28125.0,
724,RD HDP REM 6,MSSS11,"RODA HIDUP WITH REM 6"" SSS",SSS,PCS,DWS,61250.0,
725,RD HDP TK3,MTOK13,RODA KARET HIDUP TOKIO 3',TOKIO,PCS,NAS,11970.0,
726,RD HDP TK4,MTOK14,RODA KARET HIDUP TOKIO 4',TOKIO,PCS,NAS,20520.0,
727,RD LORI,MXXX72,RODA LORI BIRU TOKIO 8 AS 25,,PCS,NAS,35625.0,
728,RD MT HTM 4,MSSS12,"RODA MATI HITAM 4"" SSS",SSS,PCS,DWS,15250.0,
729,RD MT HTM 5,MSSS13,RODA MATI HITAM 5'' SSS,SSS,PCS,DWS,18750.0,
730,RD MT HTM 6,MSSS14,"RODA MATI HITAM 6"" SSS",SSS,PCS,DWS,41875.0,
731,RD MT TK3,MTOK15,RODA KARET MATI TOKIO 3',TOKIO,PCS,NAS,10687.5,
732,RD MT TK4,MTOK16,RODA KARET MATI TOKIO 4',TOKIO,PCS,NAS,17955.0,
733,RD PP HDP NY 5,MSSS15,"RODA PP HIDUP NYLON 5"" SSS",SSS,PCS,DWS,24000.0,
734,RD PP MT NY 5,MSSS16,"RODA PP MATI NYLON 5"" SSS",SSS,PCS,DWS,20500.0,
735,RD REM 3,MTOK17,RODA KARET REM (MERAH) TOKIO 3',TOKIO,PCS,NAS,16200.0,
736,RD REM 4,MTOK18,RODA KARET REM (MERAH) TOKIO 4',TOKIO,PCS,NAS,18382.5,
737,RD REM 6,MXXX73,RODA KARET REM TOKIO 6',,PCS,NAS,68000.0,
738,RD REM MR 2,MSSS17,"RODA 2"" REM MERAH (DB) SSS",SSS,PCS,DWS,10331.25,
739,RDBR HVDT 6,MGLX04,"RODA ONLY BIRU HV DUTY 6"" GLX",GLX,PCS,GSS,31000.0,
740,RDBR HVDT 8,MGLX05,"RODA ONLY BIRU HV DUTY 8"" GLX",GLX,PCS,GSS,41000.0,
741,RDGP MRH,MXXX74,RODA GEPENG/KARET MERAH,,SET,GSS,19000.0,
742,RDGP PTH,MXXX75,RODA GEPENG PUTIH,,SET,GSS,18000.0,
743,RDGP PVC MATI,MTOK19,RODA GEPENG PVC MATI TOKIO,TOKIO,SET,NAS,13000.0,
744,RDMT GUNDUL,MXXX76,RODA / BAN MATI GUNDUL,,PCS,HHH,59850.0,
745,RDMT IGM,MIGM09,RODA / BAN MATI IGM,IGM,PCS,IGM,77272.73000000000,
